# count	conf	archetype	colorL	name
122	medium	munich-dark	32.9	New Zealand - Red Back Malt
122	high	flaked-corn	0.8	Briess - Brewers Yellow Corn Flakes
122	high	flaked-wheat	2	Briess - Brewers Red Wheat Flakes
121	medium	dark-candi-syrup	80	Candi Syrup - Belgian Candi Syrup - Dark
121	high	extract	8	Briess - LME Munich
120	high	pilsner	2	Ireland - Lager Malt
120	high	adjunct	0	Raspberry, red
117	high	base-pale	1	2-Row (US)
117	high	maris-otter	2.4	Simpsons - Maris Otter pale
115	low	base-pale	1.5	American - Pale Millet Malt - Gluten Free
115	high	chocolate-malt	350	Briess - Organic Chocolate Malt
113	high	base-pale	1.9	American 2-row
113	high	wheat-malt	1.8	Castle Malting - Château Wheat Blanc
111	high	crystal-medium	45	Weyermann - Caramunich Type 2
110	high	crystal-medium	40.3	Caramel/Crystal Malt - 40L
110	low	base-pale	1	Grits
110	medium	dark-candi-syrup	40	Candi Syrup - Belgian Candi Syrup - Amber
110	high	extract	9.2	Liquid Malt Extract - Rye
108	high	pilsner	2.4	Weyermann - Bohemian Pilsner Malt
106	high	sugar	1	Invert Sugar Syrup
106	high	sugar	2.7	Agave Nectar
106	high	crystal-light	14	Simpsons - CaraMalt
106	high	base-pale	2.8	Bestmalz - BEST Pale ale
105	high	munich-light	9.3	Munich Malt
105	high	crystal-dark	80	Briess - Caramel Malt - 80L
104	high	crystal-light	10	American - Crystal 10L Millet Malt - Gluten Free
104	high	wheat-malt	2.3	Briess - Wheat Malt, Red
104	high	black-malt	500	Briess - Blackprinz Malt
104	medium	amber-malt	27.5	Crisp Malting - Amber
103	high	adjunct	0	Blackberry
102	low	base-pale	2	Great Western  - Premium Two Row
101	low	chocolate-malt	152.3	New Zealand - Shepherds Delight Malt
101	high	pilsner	1.5	Weyermann - Extra Pale Premium Pilsner Malt
100	medium	sugar	0	Candi Syrup - Belgian Candi Syrup - Clear
100	high	pilsner	1.9	Bestmalz - Pilsen
99	high	maris-otter	2	United Kingdom - Halcyon
99	high	maris-otter	2.1	United Kingdom - Optic
99	high	extract	10	Briess - LME Sparkling Amber Liquid
98	high	pilsner	6.5	German - Floor-Malted Bohemian Pilsner Dk
98	high	base-pale	2.6	Gladfield - American Ale Malt
98	high	extract	3	Briess - LME White Grain Sorghum
97	high	sugar	2	Brown Rice Syrup - Gluten Free
97	high	crystal-dark	150	Muntons - Dark Crystal
97	high	carafa-dehusked	525	Weyermann - Carafa III
